0493e42eb2f9fbf42d0aee0b48a84f81f19fb7fa," av_unused static void DEF(put, pixels16_x2)(uint8_t *block, const uint8_t *pixel",libavcodec/x86/hpeldsp_rnd_template.c
3f9fa2d0b58b142b165d4a8eaa61d7e837a76838, static const int swf_index_tables[4][16] = {,libavcodec/adpcm.c
9e704755515f504f4d454a1349a82885547d77ab," static int jpeg2000_decode_packets_po_iteration(Jpeg2000DecoderContext *s, Jpeg2",libavcodec/jpeg2000dec.c
e3d8504fd043bdc2535525128b158fbc1fb18c67, static int hls_mux_init(AVFormatContext *s),libavformat/hlsenc.c
e5aa6f702130f1afd53c61d058c2ebc48e61e9ea," static inline int decode_log_area(int coded, int factor, int offset)",libavcodec/gsmdec_template.c
57cd2f7777a316a447301a7d4b5d1c01da200661, static av_cold int mpeg_mux_init(AVFormatContext *ctx),libavformat/mpegenc.c
92fabca427ff2d8fffa4bd4f09839d8d3822ef31,,libavcodec/x86/hpeldsp_rnd_template.c
736a3860555adb4e786c45c294c3ef7ccc8ba1f7," MATH_FUNCS=""",configure
0c73a5a53cc97f4291bbe9e1e68226edf6161744, typedef struct HLSContext {,libavformat/hls.c
cd60631752cafe106b406f00966ac0323ad2ce1f, enabled libx264           && require libx264 x264.h x264_encoder_encode -lx264 &,configure
